Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,BAY ST / KEARNY ST,-122.4071493,37.80642673
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,INGLESIDE,NONE,400 Block of SAWYER ST,-122.4146668,37.71241721
7/11/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,MISSION,"ARREST, BOOKED",SHOTWELL ST / 18TH ST,-122.4160784,37.76203479
7/11/2017,NON-CRIMINAL,AIDED CASE,Tuesday,MISSION,NONE,CUMBERLAND ST / DOLORES ST,-122.4258444,37.7590298
7/11/2017,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,TARAVAL,NONE,1800 Block of 10TH AV,-122.466733,37.75371459
7/11/2017,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Tuesday,PARK,NONE,2100 Block of GEARY BL,-122.4387104,37.78359719
7/11/2017,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,SOUTHERN,NONE,3RD ST / KING ST,-122.3918456,37.77812478
7/11/2017,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Tuesday,CENTRAL,"ARREST, BOOKED",MASON ST / BAY ST,-122.4136096,37.80561888
7/11/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,RICHMOND,NONE,CABRILLO ST / 7TH AV,-122.4649438,37.77531936
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
7/11/2017,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,CENTRAL,"ARREST, BOOKED",800 Block of HYDE ST,-122.4168555,37.78866173
7/11/2017,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Tuesday,MISSION,NONE,2200 Block of MARKET ST,-122.4319577,37.76493572
7/11/2017,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,MISSION,NONE,3300 Block of 19TH ST,-122.4186673,37.76032298
7/11/2017,LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Tuesday,SOUTHERN,NONE,800 Block of MARKET ST,-122.4076335,37.78418935
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,1700 Block of 16TH AV,-122.4733707,37.75494293
7/11/2017,OTHER OFFENSES,FALSE PERSONATION,Tuesday,RICHMOND,NONE,1600 Block of BALBOA ST,-122.4764409,37.77672282
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
7/11/2017,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,PARK,NONE,300 Block of HUGO ST,-122.461566,37.76513025
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,RICHMOND,NONE,5500 Block of GEARY BL,-122.478861,37.78048302
7/11/2017,VEHICLE THEFT,STOLEN TRUCK,Tuesday,RICHMOND,NONE,2500 Block of CABRILLO ST,-122.4859393,37.77430794
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,MISSION,NONE,22ND ST / SOUTH VAN NESS AV,-122.416569,37.7555688
7/11/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,MISSION,"ARREST, BOOKED",SHOTWELL ST / 18TH ST,-122.4160784,37.76203479
7/11/2017,WARRANTS,ENROUTE TO PROBATION OFFICER,Tuesday,RICHMOND,"ARREST, BOOKED",500 Block of 28TH AV,-122.4879432,37.77896208
7/11/2017,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,MISSION,"ARREST, BOOKED",13TH ST / FOLSOM ST,-122.4155778,37.76959145
7/11/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,TARAVAL,NONE,400 Block of SERRANO DR,-122.4804507,37.71901187
7/11/2017,FRAUD,"TRICK AND DEVICE, PETTY THEFT",Tuesday,SOUTHERN,NONE,1100 Block of MARKET ST,-122.4123209,37.78076423
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,SOUTHERN,NONE,VALENCIA ST / MCCOPPIN ST,-122.4225263,37.77159621
7/11/2017,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.4329146,37.78435334
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,1200 Block of FILBERT ST,-122.4200883,37.80008096
7/11/2017,WARRANTS,WARRANT ARREST,Tuesday,TARAVAL,"ARREST, BOOKED",1700 Block of 42ND AV,-122.5012514,37.75405739
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Tuesday,INGLESIDE,NONE,4700 Block of MISSION ST,-122.437394,37.72141206
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,GEARY BL / 16TH AV,-122.4750837,37.78052569
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,INGLESIDE,NONE,100 Block of WESTWOOD DR,-122.4591822,37.72839618
7/11/2017,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Tuesday,NORTHERN,NONE,WILLOW ST / VANNESS AV,-122.4209065,37.78336018
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,NORTHERN,NONE,300 Block of FULTON ST,-122.4225365,37.77879588
7/11/2017,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Tuesday,TARAVAL,NONE,100 Block of SANALESO AV,-122.4653228,37.7309687
7/11/2017,FRAUD,"FALSE PRETENSES, GRAND THEFT",Tuesday,TARAVAL,NONE,LAWTON ST / 29TH AV,-122.4874495,37.75749338
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,"ARREST, BOOKED",5TH ST / MISSION ST,-122.406482,37.78273179
7/11/2017,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,SOUTHERN,NONE,1300 Block of MISSION ST,-122.415757,37.77546928
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,CENTRAL,NONE,TAYLOR ST / CALIFORNIA ST,-122.4124633,37.79162828
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE,2000 Block of MARKET ST,-122.4269556,37.76924706
7/11/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,NORTHERN,NONE,800 Block of FELL ST,-122.4318347,37.77474151
